[[0.9998755785313571, -0.002805354697112944, -0.015522803922194805], [0.0025445109722490606, 0.9998556623011072, -0.016798215033924133], [0.015567688347844846, 0.01675662703043894, 0.9997383970469809]]|[-229.18820961761256, -105.07815508557654, 912.8035814222634]
[[0.997634007211415, 0.021227986334974136, 0.06538929768285161], [0.000554174781792054, 0.9486206291578565, -0.31641522533921135], [-0.0687464947877756, 0.3157028262976352, 0.9463644355754709]]|[-338.56435224082645, -282.1381544177711, 821.8172047404944]
[[0.9958012152474869, -0.04943547917736295, 0.07704591559669505], [-0.013420746897120608, 0.7537111360975774, 0.6570687991947439], [-0.09055287551674973, -0.655343922472013, 0.7498830042177542]]|[-248.30934127819233, 30.22611803891677, 969.8615103640587]
[[0.8421186642311497, -0.05201844554310313, 0.5367776417445344], [-0.05849828889374466, 0.9806531422526588, 0.18680836380229518], [-0.5361101617671954, -0.1887153833508702, 0.8227833241727045]]|[-45.37892234526721, -28.973198090808577, 1105.351416985999]
[[0.9748870129507273, -0.017041325973350764, -0.22204707876726976], [0.010859592551769886, 0.999519517956427, -0.029031060500108584], [0.2224351168984287, 0.025890663051019405, 0.9746036591031046]]|[104.04131588524706, -100.6681375717178, 717.0649505693133]
[[0.5973474357947512, 0.796593650142606, 0.0928148560410185], [-0.7561865770102, 0.5209035478754459, 0.39603201203989774], [0.2671289982368673, -0.30675405517002124, 0.9135338241891842]]|[-35.30429193527206, 112.9973338770143, 881.1130946652828]
[[0.5580449709923456, 0.7199605258854155, -0.41260471582005487], [-0.7573637018501481, 0.6450885908763732, 0.10129626370688807], [0.3390959060059444, 0.2559639644323617, 0.9052604130536563]]|[-311.1046565047525, 298.36892319263285, 838.056906853782]
[[0.615234643827805, 0.777009703249735, 0.13320005288975223], [-0.7015462501147576, 0.6166982234422818, -0.3570940494506395], [-0.3596097773754157, 0.12625063270689973, 0.9245223554663844]]|[-312.42690093502995, 278.9789320316094, 1026.842744411419]
[[0.4994166941136139, 0.5529198930390089, 0.6669801777582], [-0.7825031682880204, 0.6183119171977067, 0.07334278881053302], [-0.37184910549823724, -0.5585427154059278, 0.741456861730427]]|[-43.288422196793285, 272.41961360571855, 1175.211096800919]
[[-0.08860937767044591, 0.9958870564255967, -0.0189036777590006], [-0.9959571304269382, -0.08886486668268473, -0.013131253603791965], [-0.014757118302524415, 0.017663700445504967, 0.9997350754804877]]|[-22.660438429884962, 494.9665903306181, 788.5678913935426]
